0	0
1	0
2	0.12661
3	0.23436
4	0.32607
5	0.40411
6	0.47053
7	0.52705
8	0.57516
9	0.6161
10	0.65094
11	0.68059
12	0.70582
13	0.7273
14	0.74558
15	0.76113
16	0.77437
17	0.78563
18	0.79522
19	0.80338
20	0.81033
21	0.81623
22	0.82126
23	0.82554
24	0.82919
25	0.83229
26	0.83493
27	0.83717
28	0.83908
29	0.84071
30	0.84209
31	0.84327
32	0.84427
33	0.84513
34	0.84585
35	0.84647
36	0.847
37	0.84744
38	0.84782
39	0.84815
40	0.84842
41	0.84866
42	0.84886
43	0.84903
44	0.84917
45	0.8493
46	0.8494
47	0.84949
48	0.84957
49	0.84963
50	0.84969
51	0.84973
52	0.84977
53	0.84981
54	0.84984
55	0.84986
56	0.84988
57	0.8499
58	0.84991
59	0.84993
60	0.84994
61	0.84995
62	0.84995
63	0.84996
64	0.84997
65	0.84997
66	0.84998
67	0.84998
68	0.84998
69	0.84999
70	0.84999
71	0.84999
72	0.84999
73	0.84999
74	0.84999
75	0.84999
76	0.85
77	0.85
78	0.85
79	0.85
80	0.85
81	0.85
82	0.85
83	0.85
84	0.85
85	0.85
86	0.85
87	0.85
88	0.85
89	0.85
90	0.85
91	0.85
92	0.85
93	0.85
94	0.85
95	0.85
96	0.85
97	0.85
98	0.85
99	0.85
100	0.85
101	0.85
102	0.85
103	0.85
104	0.85
105	0.85
106	0.85
107	0.85
108	0.85
109	0.85
110	0.85
111	0.85
112	0.85
113	0.85
114	0.85
115	0.85
116	0.85
117	0.85
118	0.85
119	0.85
120	0.85
121	0.85
122	0.85
123	0.85
124	0.85
125	0.85
126	0.85
127	0.85
128	0.85
129	0.85
130	0.85
131	0.85
132	0.85
133	0.85
134	0.85
135	0.85
136	0.85
137	0.85
138	0.85
139	0.85
140	0.85
141	0.85
142	0.85
143	0.85
144	0.85
145	0.85
146	0.85
147	0.85
148	0.85
149	0.85
150	0.85
151	0.85
152	0.85
153	0.85
154	0.85
155	0.85
156	0.85
157	0.85
158	0.85
159	0.85
160	0.85
161	0.85
162	0.85
163	0.85
164	0.85
165	0.85
166	0.85
167	0.85
168	0.85
169	0.85
170	0.85
171	0.85
172	0.85
173	0.85
174	0.85
175	0.85
176	0.85
177	0.85
178	0.85
179	0.85
180	0.85
181	0.85
182	0.85
183	0.85
184	0.85
185	0.85
186	0.85
187	0.85
188	0.85
189	0.85
190	0.85
191	0.85
192	0.85
193	0.85
194	0.85
195	0.85
196	0.85
197	0.85
198	0.85
199	0.85
200	0.85
201	0.85
202	0.85
203	0.85
204	0.85
205	0.85
206	0.85
207	0.85
208	0.85
209	0.85
210	0.85
211	0.85
212	0.85
213	0.85
214	0.85
215	0.85
216	0.85
217	0.85
218	0.85
219	0.85
220	0.85
221	0.85
222	0.85
223	0.85
224	0.85
225	0.85
226	0.85
227	0.85
228	0.85
229	0.85
230	0.85
231	0.85
232	0.85
233	0.85
234	0.85
235	0.85
236	0.85
237	0.85
238	0.85
239	0.85
240	0.85
241	0.85
242	0.85
243	0.85
244	0.85
245	0.85
246	0.85
247	0.85
248	0.85
249	0.85
250	0.85
251	0.85
252	0.85
253	0.85
254	0.85
255	0.85
256	0.85
257	0.85
258	0.85
259	0.85
260	0.85
261	0.85
262	0.85
263	0.85
264	0.85
265	0.85
266	0.85
267	0.85
268	0.85
269	0.85
270	0.85
271	0.85
272	0.85
273	0.85
274	0.85
275	0.85
276	0.85
277	0.85
278	0.85
279	0.85
280	0.85
281	0.85
282	0.85
283	0.85
284	0.85
285	0.85
286	0.85
287	0.85
288	0.85
289	0.85
290	0.85
291	0.85
292	0.85
293	0.85
294	0.85
295	0.85
296	0.85
297	0.85
298	0.85
299	0.85
300	0.85
301	0.85
302	0.85
303	0.85
304	0.85
305	0.85
306	0.85
307	0.85
308	0.85
309	0.85
310	0.85
311	0.85
312	0.85
313	0.85
314	0.85
315	0.85
316	0.85
317	0.85
318	0.85
319	0.85
320	0.85
321	0.85
322	0.85
323	0.85
324	0.85
325	0.85
326	0.85
327	0.85
328	0.85
329	0.85
330	0.85
331	0.85
332	0.85
333	0.85
334	0.85
335	0.85
336	0.85
337	0.85
338	0.85
339	0.85
340	0.85
341	0.85
342	0.85
343	0.85
